date,product,category,units_sold,revenue,price,discount_pct,ad_spend,promo
2023-03-01,Беговая дорожка,Фитнес,27,1101041.91,47975.69,15.00,148.84,true
2023-03-01,Гантели разборные,Фитнес,72,491902.56,6831.98,0.00,254.07,false
2023-03-01,Палатка туристическая,Туризм,28,494807.60,17671.70,0.00,213.38,true
2023-03-01,Спальный мешок,Туризм,40,307310.00,7682.75,0.00,223.65,false
2023-03-01,Велосипед городской,Велоспорт,19,613460.03,32287.37,0.00,195.65,false
2023-03-01,Лыжный комплект,Зимний спорт,11,258268.23,23478.93,0.00,141.11,false
2023-03-02,Беговая дорожка,Фитнес,18,742094.64,45808.31,10.00,144.64,false
2023-03-02,Гантели разборные,Фитнес,69,482902.71,6998.59,0.00,281.46,false
2023-03-02,Палатка туристическая,Туризм,27,438864.21,16254.23,0.00,222.70,false
2023-03-02,Спальный мешок,Туризм,42,330535.38,7869.89,0.00,242.95,false
2023-03-02,Велосипед городской,Велоспорт,20,557646.20,30980.34,10.00,178.13,false
2023-03-02,Лыжный комплект,Зимний спорт,18,339012.54,20471.77,8.00,135.33,false
2023-03-03,Беговая дорожка,Фитнес,11,558249.34,50749.94,0.00,146.39,false
2023-03-03,Гантели разборные,Фитнес,64,461352.96,7208.64,0.00,291.67,false
2023-03-03,Палатка туристическая,Туризм,26,396451.64,15248.14,0.00,219.97,false
2023-03-03,Спальный мешок,Туризм,39,312889.20,8022.80,0.00,240.26,false
2023-03-03,Велосипед городской,Велоспорт,18,649845.90,36102.55,0.00,193.43,false
2023-03-03,Лыжный комплект,Зимний спорт,22,445697.56,23153.12,12.50,142.38,true
2023-03-04,Беговая дорожка,Фитнес,19,704478.01,46347.24,20.00,145.88,false
2023-03-04,Гантели разборные,Фитнес,95,652266.20,6865.96,0.00,276.05,true
2023-03-04,Палатка туристическая,Туризм,34,525890.24,15467.36,0.00,229.01,false
2023-03-04,Спальный мешок,Туризм,65,498576.65,7670.41,0.00,259.75,false
2023-03-04,Велосипед городской,Велоспорт,26,943100.34,36273.09,0.00,185.13,false
2023-03-04,Лыжный комплект,Зимний спорт,18,386566.38,21475.91,0.00,137.34,false
2023-03-05,Беговая дорожка,Фитнес,16,726399.36,45399.96,0.00,153.74,false
2023-03-05,Гантели разборные,Фитнес,87,626734.08,7203.84,0.00,283.77,false
2023-03-05,Палатка туристическая,Туризм,63,859058.55,16042.17,15.00,228.68,false
2023-03-05,Спальный мешок,Туризм,71,583736.44,8221.64,0.00,233.40,true
2023-03-05,Велосипед городской,Велоспорт,23,819228.26,35618.62,0.00,171.93,false
2023-03-05,Лыжный комплект,Зимний спорт,13,267401.55,20569.35,0.00,129.55,false
2023-03-06,Беговая дорожка,Фитнес,19,914650.12,48139.48,0.00,153.07,true
2023-03-06,Гантели разборные,Фитнес,95,722801.80,7608.44,0.00,226.69,false
2023-03-06,Палатка туристическая,Туризм,34,561876.86,16525.79,0.00,210.55,false
2023-03-06,Спальный мешок,Туризм,55,417970.85,7599.47,0.00,256.91,false
2023-03-06,Велосипед городской,Велоспорт,28,800518.88,31766.62,10.00,170.54,false
2023-03-06,Лыжный комплект,Зимний спорт,12,262650.36,21887.53,0.00,140.68,false
2023-03-07,Беговая дорожка,Фитнес,18,909781.02,50543.39,0.00,160.66,false
2023-03-07,Гантели разборные,Фитнес,106,697858.42,6930.07,5.00,274.56,false
2023-03-07,Палатка туристическая,Туризм,33,584897.28,17724.16,0.00,210.37,true
2023-03-07,Спальный мешок,Туризм,51,422172.90,8277.90,0.00,241.55,false
2023-03-07,Велосипед городской,Велоспорт,19,614535.24,32343.96,0.00,186.11,false
2023-03-07,Лыжный комплект,Зимний спорт,16,345653.44,23481.89,8.00,142.13,false
2023-03-08,Беговая дорожка,Фитнес,20,915848.80,45792.44,0.00,148.10,false
2023-03-08,Гантели разборные,Фитнес,127,853549.22,7680.99,12.50,260.09,true
2023-03-08,Палатка туристическая,Туризм,37,561015.09,15162.57,0.00,209.04,false
2023-03-08,Спальный мешок,Туризм,48,392438.88,8175.81,0.00,217.75,false
2023-03-08,Велосипед городской,Велоспорт,17,563869.26,33168.78,0.00,173.84,false
2023-03-08,Лыжный комплект,Зимний спорт,17,356436.96,20966.88,0.00,136.05,false
2023-03-09,Беговая дорожка,Фитнес,25,1179188.25,53905.74,12.50,155.01,true
2023-03-09,Гантели разборные,Фитнес,68,517372.56,7608.42,0.00,219.35,false
2023-03-09,Палатка туристическая,Туризм,33,450953.91,17081.59,20.00,214.02,false
2023-03-09,Спальный мешок,Туризм,36,300030.48,8334.18,0.00,211.86,false
2023-03-09,Велосипед городской,Велоспорт,17,556926.46,32760.38,0.00,166.09,false
2023-03-09,Лыжный комплект,Зимний спорт,14,289437.26,20674.09,0.00,131.11,false
2023-03-10,Беговая дорожка,Фитнес,14,668028.34,47716.31,0.00,154.09,false
2023-03-10,Гантели разборные,Фитнес,69,470269.50,7174.21,5.00,261.86,false
2023-03-10,Палатка туристическая,Туризм,26,377089.18,16114.92,10.00,233.79,false
2023-03-10,Спальный мешок,Туризм,54,412474.14,7638.41,0.00,235.79,false
2023-03-10,Велосипед городской,Велоспорт,27,702034.56,32501.60,20.00,169.34,false
2023-03-10,Лыжный комплект,Зимний спорт,26,572264.68,22010.18,0.00,142.46,true
2023-03-11,Беговая дорожка,Фитнес,11,523821.76,47620.16,0.00,149.50,false
2023-03-11,Гантели разборные,Фитнес,91,615570.41,6764.51,0.00,229.09,false
2023-03-11,Палатка туристическая,Туризм,60,781474.80,15323.04,15.00,237.39,false
2023-03-11,Спальный мешок,Туризм,72,589740.48,8190.84,0.00,220.22,true
2023-03-11,Велосипед городской,Велоспорт,29,940256.85,36025.17,10.00,184.83,false
2023-03-11,Лыжный комплект,Зимний спорт,20,362502.60,22656.42,20.00,130.94,false
2023-03-12,Беговая дорожка,Фитнес,15,711961.20,47464.08,0.00,153.38,false
2023-03-12,Гантели разборные,Фитнес,96,604832.64,7412.16,15.00,267.29,false
2023-03-12,Палатка туристическая,Туризм,63,882119.07,15219.45,8.00,223.77,true
2023-03-12,Спальный мешок,Туризм,75,566157.00,7548.76,0.00,213.90,false
