date,product,category,units_sold,revenue,price,discount_pct,ad_spend,promo
2024-01-01,Робот-пылесос,Электроника,30,747149.40,24904.98,0.00,121.14,false
2024-01-01,Электрический чайник,Кухня,91,296276.89,3720.90,12.50,194.77,false
2024-01-01,Кофеварка,Кухня,34,312941.44,9204.16,0.00,161.22,false
2024-01-01,Увлажнитель воздуха,Дом и быт,70,381452.40,5736.13,5.00,171.00,true
2024-01-01,Набор посуды,Дом и быт,45,297172.80,6603.84,0.00,151.68,true
2024-01-01,Фен,Красота,48,205918.08,4289.96,0.00,138.95,false
2024-01-02,Робот-пылесос,Электроника,37,933673.17,29687.54,15.00,116.20,true
2024-01-02,Электрический чайник,Кухня,63,225771.21,3583.67,0.00,181.78,false
2024-01-02,Кофеварка,Кухня,46,400763.04,9170.78,5.00,165.68,false
2024-01-02,Увлажнитель воздуха,Дом и быт,51,276386.34,5890.58,8.00,168.36,true
2024-01-02,Набор посуды,Дом и быт,36,225676.80,6268.80,0.00,147.07,false
2024-01-02,Фен,Красота,44,180102.12,4308.66,5.00,152.66,false
2024-01-03,Робот-пылесос,Электроника,31,906104.58,29229.18,0.00,126.54,true
2024-01-03,Электрический чайник,Кухня,65,225434.95,3468.23,0.00,174.37,false
2024-01-03,Кофеварка,Кухня,50,403394.50,8492.52,5.00,169.40,false
2024-01-03,Увлажнитель воздуха,Дом и быт,57,317519.64,5570.52,0.00,177.68,true
2024-01-03,Набор посуды,Дом и быт,35,251736.45,7192.47,0.00,136.75,false
2024-01-03,Фен,Красота,47,189404.36,4380.31,8.00,152.32,false
2024-01-04,Робот-пылесос,Электроника,35,1029971.25,29427.75,0.00,115.18,true
2024-01-04,Электрический чайник,Кухня,65,228300.80,3512.32,0.00,203.40,false
2024-01-04,Кофеварка,Кухня,31,282711.32,9119.72,0.00,164.91,false
2024-01-04,Увлажнитель воздуха,Дом и быт,41,265962.49,6486.89,0.00,173.72,false
2024-01-04,Набор посуды,Дом и быт,50,310580.50,7098.98,12.50,153.55,false
2024-01-04,Фен,Красота,49,229407.22,4681.78,0.00,162.18,false
2024-01-05,Робот-пылесос,Электроника,25,612438.50,25786.88,5.00,130.87,false
2024-01-05,Электрический чайник,Кухня,57,198231.18,3477.74,0.00,178.87,false
2024-01-05,Кофеварка,Кухня,43,346752.86,8765.24,8.00,178.62,false
2024-01-05,Увлажнитель воздуха,Дом и быт,50,248365.00,5519.23,10.00,164.02,false
2024-01-05,Набор посуды,Дом и быт,48,329346.72,6861.39,0.00,165.48,false
2024-01-05,Фен,Красота,37,163885.21,4429.33,0.00,136.85,false
2024-01-06,Робот-пылесос,Электроника,30,780960.60,26032.02,0.00,131.34,false
2024-01-06,Электрический чайник,Кухня,87,322313.25,3704.75,0.00,207.50,true
2024-01-06,Кофеварка,Кухня,38,341265.46,8980.67,0.00,174.63,false
2024-01-06,Увлажнитель воздуха,Дом и быт,57,339167.10,5950.30,0.00,161.17,false
2024-01-06,Набор посуды,Дом и быт,46,304472.16,6618.96,0.00,165.02,false
2024-01-06,Фен,Красота,50,195985.50,3919.71,0.00,120.39,false
2024-01-07,Робот-пылесос,Электроника,20,517255.60,25862.78,0.00,131.58,false
2024-01-07,Электрический чайник,Кухня,87,266795.07,3607.78,15.00,177.31,false
2024-01-07,Кофеварка,Кухня,43,386919.59,8998.13,0.00,157.59,false
2024-01-07,Увлажнитель воздуха,Дом и быт,76,453736.72,5970.22,0.00,164.73,true
2024-01-07,Набор посуды,Дом и быт,52,343185.44,6599.72,0.00,141.48,false
2024-01-07,Фен,Красота,67,267807.71,4568.15,12.50,115.41,false
2024-01-08,Робот-пылесос,Электроника,22,625695.40,28440.70,0.00,121.54,false
2024-01-08,Электрический чайник,Кухня,83,295338.90,3745.58,5.00,194.46,true
2024-01-08,Кофеварка,Кухня,40,382896.00,9572.40,0.00,163.22,false
2024-01-08,Увлажнитель воздуха,Дом и быт,57,332625.21,5835.53,0.00,162.00,false
2024-01-08,Набор посуды,Дом и быт,44,297865.92,6769.68,0.00,162.65,false
2024-01-08,Фен,Красота,55,215063.75,3910.25,0.00,142.53,false
2024-01-09,Робот-пылесос,Электроника,23,659283.27,28664.49,0.00,126.38,false
2024-01-09,Электрический чайник,Кухня,100,304598.00,3807.48,20.00,166.26,false
2024-01-09,Кофеварка,Кухня,37,371717.17,10046.41,0.00,159.24,false
2024-01-09,Увлажнитель воздуха,Дом и быт,50,292365.00,5847.30,0.00,186.78,false
2024-01-09,Набор посуды,Дом и быт,41,256290.18,6945.53,10.00,157.78,false
2024-01-09,Фен,Красота,45,201861.00,4485.80,0.00,127.31,false
2024-01-10,Робот-пылесос,Электроника,25,736299.50,29451.98,0.00,125.35,false
2024-01-10,Электрический чайник,Кухня,62,222956.96,3596.08,0.00,190.61,false
2024-01-10,Кофеварка,Кухня,28,279166.44,9970.23,0.00,155.44,false
2024-01-10,Увлажнитель воздуха,Дом и быт,33,180679.29,5475.13,0.00,166.62,false
2024-01-10,Набор посуды,Дом и быт,32,215726.72,6741.46,0.00,138.95,false
2024-01-10,Фен,Красота,50,197787.50,3955.75,0.00,117.69,false
2024-01-11,Робот-пылесос,Электроника,29,792722.83,27335.27,0.00,129.17,false
2024-01-11,Электрический чайник,Кухня,72,274627.44,3814.27,0.00,199.16,false
2024-01-11,Кофеварка,Кухня,37,336963.81,9899.05,8.00,175.24,false
2024-01-11,Увлажнитель воздуха,Дом и быт,49,280721.00,5729.00,0.00,179.01,false
2024-01-11,Набор посуды,Дом и быт,32,222831.36,6963.48,0.00,159.00,false
2024-01-11,Фен,Красота,46,199756.38,4342.53,0.00,118.87,false
2024-01-12,Робот-пылесос,Электроника,29,710544.37,26632.09,8.00,126.11,false
2024-01-12,Электрический чайник,Кухня,47,174122.78,3704.74,0.00,191.45,false
2024-01-12,Кофеварка,Кухня,37,328779.04,8885.92,0.00,169.21,false
2024-01-12,Увлажнитель воздуха,Дом и быт,48,291547.20,6073.90,0.00,179.82,false
2024-01-12,Набор посуды,Дом и быт,46,294759.72,6407.82,0.00,155.90,true
2024-01-12,Фен,Красота,54,222891.48,4127.62,0.00,156.55,false
2024-01-13,Робот-пылесос,Электроника,28,745612.28,26629.01,0.00,132.18,false
2024-01-13,Электрический чайник,Кухня,72,258781.68,3594.19,0.00,206.85,false
2024-01-13,Кофеварка,Кухня,35,282070.95,10073.96,20.00,167.58,false
2024-01-13,Увлажнитель воздуха,Дом и быт,71,431269.62,6393.92,5.00,186.92,false
2024-01-13,Набор посуды,Дом и быт,58,302704.32,6523.80,20.00,137.45,false
2024-01-13,Фен,Красота,53,224534.50,4604.90,8.00,120.92,false
2024-01-14,Робот-пылесос,Электроника,37,840117.93,28382.36,20.00,128.39,false
2024-01-14,Электрический чайник,Кухня,58,208402.12,3593.14,0.00,211.75,false
2024-01-14,Кофеварка,Кухня,36,345869.28,9607.48,0.00,153.01,false
2024-01-14,Увлажнитель воздуха,Дом и быт,37,230889.25,6240.25,0.00,186.01,false
2024-01-14,Набор посуды,Дом и быт,43,262865.88,6113.16,0.00,160.70,false
2024-01-14,Фен,Красота,46,178994.28,3891.18,0.00,110.25,false
2024-01-15,Робот-пылесос,Электроника,30,718559.40,26034.76,8.00,122.60,false
2024-01-15,Электрический чайник,Кухня,62,216521.36,3492.28,0.00,176.07,false
2024-01-15,Кофеварка,Кухня,43,400305.49,9309.43,0.00,169.87,false
2024-01-15,Увлажнитель воздуха,Дом и быт,49,310227.33,6331.17,0.00,173.42,false
2024-01-15,Набор посуды,Дом и быт,42,266139.30,7040.72,10.00,137.36,false
2024-01-15,Фен,Красота,46,190659.88,4144.78,0.00,118.93,false
2024-01-16,Робот-пылесос,Электроника,29,761008.43,26241.67,0.00,131.78,false
2024-01-16,Электрический чайник,Кухня,105,314391.00,3326.89,10.00,190.52,true
2024-01-16,Кофеварка,Кухня,38,371582.62,9778.49,0.00,163.60,false
2024-01-16,Увлажнитель воздуха,Дом и быт,61,340236.65,5871.21,5.00,168.96,false
2024-01-16,Набор посуды,Дом и быт,34,226315.90,6656.35,0.00,137.33,false
2024-01-16,Фен,Красота,34,152570.92,4487.38,0.00,153.74,false
2024-01-17,Робот-пылесос,Электроника,56,1210165.60,27012.62,20.00,120.52,true
2024-01-17,Электрический чайник,Кухня,63,241353.00,3831.00,0.00,208.16,false
2024-01-17,Кофеварка,Кухня,49,384707.33,8972.76,12.50,166.33,false
2024-01-17,Увлажнитель воздуха,Дом и быт,49,264109.51,5988.88,10.00,173.06,false
2024-01-17,Набор посуды,Дом и быт,32,204189.44,6716.76,5.00,130.07,false
2024-01-17,Фен,Красота,36,163493.28,4541.48,0.00,120.42,false
2024-01-18,Робот-пылесос,Электроника,26,759750.94,29221.19,0.00,136.83,false
2024-01-18,Электрический чайник,Кухня,64,226094.72,3839.92,8.00,189.36,false
2024-01-18,Кофеварка,Кухня,40,341103.60,8527.59,0.00,177.76,false
2024-01-18,Увлажнитель воздуха,Дом и быт,33,192871.47,5844.59,0.00,150.48,false
2024-01-18,Набор посуды,Дом и быт,35,181079.50,6086.71,15.00,130.06,false
2024-01-18,Фен,Красота,36,153177.84,4254.94,0.00,106.78,false
2024-01-19,Робот-пылесос,Электроника,22,626856.34,28493.47,0.00,136.47,false
2024-01-19,Электрический чайник,Кухня,64,212741.12,3324.08,0.00,211.53,false
2024-01-19,Кофеварка,Кухня,29,246399.95,8943.73,5.00,160.18,false
2024-01-19,Увлажнитель воздуха,Дом и быт,52,276995.16,5790.03,8.00,185.11,false
2024-01-19,Набор посуды,Дом и быт,36,230994.72,6416.52,0.00,127.26,false
2024-01-19,Фен,Красота,81,267491.16,3885.13,15.00,125.14,false
2024-01-20,Робот-пылесос,Электроника,28,799275.12,28545.54,0.00,143.17,false
2024-01-20,Электрический чайник,Кухня,70,262241.00,3746.30,0.00,198.28,true
2024-01-20,Кофеварка,Кухня,43,360544.25,9582.57,12.50,173.92,true
2024-01-20,Увлажнитель воздуха,Дом и быт,57,340474.68,5973.24,0.00,185.05,false
2024-01-20,Набор посуды,Дом и быт,69,370044.93,6129.11,12.50,155.97,false
2024-01-20,Фен,Красота,52,239035.68,4596.84,0.00,143.49,false
2024-01-21,Робот-пылесос,Электроника,32,763519.04,29824.96,20.00,127.01,false
2024-01-21,Электрический чайник,Кухня,76,255453.48,3361.23,0.00,179.71,false
2024-01-21,Кофеварка,Кухня,39,357729.06,9172.54,0.00,155.87,false
2024-01-21,Увлажнитель воздуха,Дом и быт,84,399262.08,5591.90,15.00,159.78,false
2024-01-21,Набор посуды,Дом и быт,56,342181.28,6110.38,0.00,131.66,false
2024-01-21,Фен,Красота,53,192774.25,4156.86,12.50,140.84,false
